acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Fri Jan 17 2025 14:31:57 GMT-0500 (Eastern Standard Time),34183.60000038147,I,z,1208,,,4,yes,3,2743.1000003814697,31440.5,RSM,RSM,9002,LC,B,,,1
2,1,0.0,prac,1,m,30000.0,Fri Jan 17 2025 14:31:57 GMT-0500 (Eastern Standard Time),37766.80000114441,I,m,2039,,,3,no,3,3573.1000003814697,34193.70000076294,QHZXPC,QHZWPC,9002,LC,B,,,2
3,1,0.0,prac,1,m,30000.0,Fri Jan 17 2025 14:31:57 GMT-0500 (Eastern Standard Time),40433.20000076294,I,m,1128,,,1,no,3,2656.800001144409,37776.39999961853,RNV,FNV,9002,LC,B,,,3
4,1,0.0,prac,1,z,30000.0,Fri Jan 17 2025 14:31:57 GMT-0500 (Eastern Standard Time),44249.89999961853,I,z,2286,,,6,yes,3,3807.0,40442.89999961853,CSDBFPHXZ,CSDBFPHXZ,9002,LC,B,,,4
5,1,0.0,prac,1,z,30000.0,Fri Jan 17 2025 14:31:57 GMT-0500 (Eastern Standard Time),47800.10000038147,I,z,2005,,,2,yes,3,3540.6000003814697,44259.5,NBGFSM,NBGFSM,9002,LC,B,,,5
6,1,0.0,prac,1,m,30000.0,Fri Jan 17 2025 14:31:57 GMT-0500 (Eastern Standard Time),51016.5,I,m,1686,,,5,no,3,3206.7999992370605,47809.70000076294,LNDPRSKQB,LNDPRSJQB,9002,LC,B,,,6
1,1,1.383000135421753,test,1,m,28616.999864578247,Fri Jan 17 2025 14:31:57 GMT-0500 (Eastern Standard Time),71117.0,I,m,1367,1367,,1,no,3,1373.0,69744.0,HCF,RCF,9002,LC,B,67786,,1
1,1,3.1500000953674316,test,0,m,26849.99990463257,Fri Jan 17 2025 14:31:57 GMT-0500 (Eastern Standard Time),72883.89999961853,I,z,1748,1748,,2,no,3,1758.8999996185303,71125.0,QTPRJX,QTPNJX,9002,LC,B,69166,,2
1,1,6.08299994468689,test,0,m,23917.00005531311,Fri Jan 17 2025 14:31:57 GMT-0500 (Eastern Standard Time),75816.80000114441,I,z,2902,2902,,3,no,3,2920.800001144409,72896.0,MZDYGVGKQ,MZDYGLBKQ,9002,LC,B,70940,,3
2,1,8.032999992370605,test,1,m,21967.000007629395,Fri Jan 17 2025 14:31:57 GMT-0500 (Eastern Standard Time),77766.70000076294,I,m,1929,1929,,4,no,3,1942.7000007629395,75824.0,FQTNMK,JQTNMK,9002,LC,B,73865,,4
3,1,9.449000120162964,test,1,z,20550.999879837036,Fri Jan 17 2025 14:31:57 GMT-0500 (Eastern Standard Time),79183.5,I,z,1403,1403,,5,yes,3,1409.0,77774.5,CLJ,CLJ,9002,LC,B,75815,,5
3,1,12.049000024795532,test,0,m,17950.999975204468,Fri Jan 17 2025 14:31:57 GMT-0500 (Eastern Standard Time),81783.5,I,z,2571,2571,,6,no,3,2588.3999996185303,79195.10000038147,JGDMNSVPW,JGZMNSVPW,9002,LC,B,77239,,6
